customer_id,application_date,age,region,segment,employment_years,annual_income,existing_loans,credit_utilization,debt_to_income,late_payments_12m,payment_history_score,loan_amount,loan_term_months,interest_rate,default_flag,predicted_prob
CUST200040,2025-05-29,23,North,Student,7,59928,3,0.493,0.3,0,765,18000,60,6.91,0,0.722
CUST200041,2025-08-12,22,Central,Student,5,70000,4,0.277,0.11,1,765,8000,12,7.66,0,0.639
CUST200042,2026-06-21,25,Central,Premium,4,62400,4,0.069,0.03,0,712,2000,24,10.99,0,0.371
CUST200043,2025-05-15,25,Central,Retail,3,70000,4,0.217,0.11,0,663,8000,12,14.26,0,0.622
CUST200044,2026-06-25,23,Central,Student,3,45000,3,0.566,0.37,3,658,16750,36,12.53,0,0.99
CUST200045,2025-09-07,26,Central,Small Business,2,54000,2,0.462,0.3,0,611,16000,48,14.83,1,0.896
CUST200046,2026-07-14,22,North,Retail,5,62000,2,0.222,0.14,2,670,8400,24,13.47,0,0.883
CUST200047,2026-01-10,22,West,Premium,5,16320,4,0.397,0.18,4,656,3000,36,13.92,1,0.99
CUST200048,2024-09-30,22,North,Student,6,75000,3,0.078,0.03,1,653,2000,24,13.43,0,0.629
CUST200049,2024-12-29,23,South,Retail,1,32000,4,0.741,0.47,0,703,15000,48,11.58,0,0.952
CUST200050,2025-01-31,23,West,Student,5,42000,2,0.099,0.06,0,711,2500,24,11.49,0,0.445
CUST200051,2025-04-03,23,South,Retail,7,47000,4,0.165,0.05,4,566,2400,12,13.75,0,0.976
CUST200052,2026-03-15,23,North,Small Business,1,15600,4,0.464,0.29,0,747,4500,36,5.99,1,0.791
CUST200053,2025-07-10,23,Central,Retail,5,46330,4,0.336,0.17,0,712,8000,24,10.65,0,0.672
CUST200054,2025-04-04,25,South,Premium,5,30000,2,0.36,0.2,4,660,6000,12,14.35,0,0.988
CUST200055,2026-04-20,24,North,Premium,5,28800,4,0.125,0.08,3,676,2400,36,14.26,1,0.927
CUST200056,2024-12-01,26,Central,Premium,3,30000,2,0.844,0.5,0,707,15000,36,10.62,0,0.964
CUST200057,2025-08-18,22,South,Student,1,85000,4,0.221,0.14,4,673,12000,36,12.84,0,0.968
CUST200058,2025-06-12,23,North,Small Business,7,40000,2,0.154,0.04,4,653,1500,12,13.99,0,0.964
CUST200059,2025-05-07,23,South,Retail,2,44000,3,0.183,0.07,0,712,3000,24,9.25,0,0.504
CUST200060,2025-09-16,25,Central,Retail,9,175000,4,0.16,0.04,0,701,7550,12,11.49,0,0.267
CUST200061,2025-05-30,24,South,Retail,5,33600,2,0.319,0.14,0,730,4800,12,11.86,0,0.653
CUST200062,2025-03-01,26,East,Premium,10,90000,2,0.148,0.06,0,707,5175,24,11.99,0,0.386
CUST200063,2024-10-06,24,Central,Retail,5,42500,2,0.268,0.11,0,754,4800,12,7.51,0,0.507
CUST200064,2024-12-30,23,East,Retail,1,85000,2,0.321,0.14,1,767,12000,48,9.63,0,0.701
CUST200065,2025-12-19,25,South,Premium,9,45000,2,0.288,0.15,0,775,6800,24,6.03,0,0.477
CUST200066,2025-05-05,24,North,Retail,8,50000,3,0.29,0.1,0,713,5000,24,9.25,0,0.559
CUST200067,2025-05-07,22,West,Student,2,55000,2,0.283,0.12,0,721,6800,12,11.99,0,0.611
CUST200068,2026-05-21,23,East,Retail,5,63200,4,0.203,0.08,0,723,4800,12,12.53,0,0.498
CUST200069,2024-12-12,23,West,Small Business,3,75000,4,0.291,0.18,0,762,13200,36,6.17,0,0.501
CUST200070,2024-11-23,24,West,Retail,8,60000,2,0.379,0.22,1,761,13000,36,7.29,0,0.762
CUST200071,2024-11-13,23,Central,Premium,2,18000,3,0.818,0.47,2,675,8500,24,11.5,1,0.993
CUST200072,2025-11-08,22,North,Retail,6,60000,4,0.263,0.1,4,662,6000,12,13.11,0,0.973
CUST200073,2026-06-15,23,East,Retail,2,83000,4,0.333,0.14,3,606,12000,60,17.27,1,0.972
CUST200074,2025-03-13,23,East,Retail,4,90000,3,0.365,0.22,3,669,20000,60,14.65,0,0.965
CUST200075,2024-11-28,23,West,Retail,5,47184,2,0.17,0.11,0,703,5000,12,10.25,0,0.519
CUST200076,2026-03-05,22,North,Retail,2,60000,2,0.356,0.17,1,764,10000,12,11.5,0,0.782
CUST200077,2025-11-16,21,West,Retail,2,28200,2,0.257,0.09,3,615,2500,24,16.77,1,0.97
CUST200078,2026-01-14,23,Central,Retail,5,54000,3,0.167,0.1,0,665,5200,12,13.99,1,0.588
CUST200079,2025-12-16,26,West,Retail,1,40000,2,0.257,0.13,4,666,5000,12,14.26,0,0.98
CUST200080,2025-06-04,26,Central,Retail,5,19200,2,0.782,0.44,0,718,8500,36,9.99,1,0.948
CUST200081,2026-01-25,23,West,Retail,7,87600,4,0.435,0.23,3,661,20000,60,13.35,0,0.97
CUST200082,2026-06-29,24,Central,Small Business,1,60000,3,0.237,0.15,0,722,9000,12,11.58,0,0.587
CUST200083,2026-06-06,23,Central,Retail,4,140000,3,0.282,0.09,0,758,12000,48,5.42,0,0.328
CUST200084,2024-08-03,23,West,Student,1,25000,4,0.382,0.2,0,705,5000,36,10.99,0,0.772
CUST200085,2024-12-22,26,North,Retail,5,60000,3,0.342,0.16,0,760,9800,12,7.75,0,0.561
CUST200086,2024-10-05,24,East,Retail,5,47700,2,0.213,0.12,0,728,5600,36,9.99,0,0.523
CUST200087,2024-09-15,22,North,Student,1,56000,2,0.392,0.21,1,748,12000,48,6.91,0,0.805
CUST200088,2026-03-26,24,East,Retail,2,41160,3,0.167,0.1,0,772,4000,24,11.5,0,0.462
CUST200089,2026-06-23,23,Central,Student,8,50004,2,0.098,0.04,3,661,2000,12,11.91,0,0.894
CUST200090,2026-02-17,22,West,Student,7,44000,4,0.633,0.41,3,658,18000,48,13.57,1,0.992
CUST200091,2026-06-28,25,South,Retail,4,30720,3,0.124,0.08,1,755,2400,12,7.9,0,0.592
CUST200092,2025-11-14,23,East,Student,4,85000,3,0.204,0.11,0,678,9600,12,13.61,0,0.557
CUST200093,2026-01-15,25,West,Retail,4,65000,2,0.466,0.23,0,670,15000,36,13.49,0,0.819
CUST200094,2026-02-24,24,East,Student,2,50160,2,0.195,0.12,0,607,6000,24,15.62,1,0.723
CUST200095,2026-02-28,26,East,Small Business,2,47000,4,0.323,0.18,0,705,8400,36,11.83,0,0.702
CUST200096,2025-02-07,23,West,Retail,7,76268,2,0.362,0.2,0,727,15000,48,11.89,1,0.646
CUST200097,2026-01-17,24,East,Retail,8,105000,3,0.155,0.08,0,747,8000,12,7.51,0,0.3
CUST200098,2025-12-31,22,Central,Student,6,55008,2,0.41,0.22,0,678,12000,48,13.79,0,0.786
CUST200099,2025-01-08,26,South,Small Business,7,97188,3,0.322,0.16,0,613,16000,60,12.8,0,0.704
CUST200100,2024-09-28,26,North,Premium,7,64000,2,0.195,0.08,0,751,5000,36,6.62,0,0.381
CUST200101,2025-06-24,25,North,Retail,1,32000,2,0.249,0.08,4,574,2500,24,16.45,1,0.988
CUST200102,2025-10-10,25,North,Retail,4,75000,2,0.18,0.09,0,750,7000,24,7.49,0,0.385
CUST200103,2025-03-08,25,West,Retail,3,60000,4,0.088,0.05,0,759,3000,12,5.99,0,0.301
CUST200104,2025-07-05,24,North,Retail,4,48000,4,0.196,0.08,0,746,4000,24,5.42,0,0.418
CUST200105,2026-03-15,23,Central,Retail,3,45000,4,0.209,0.11,0,755,5000,36,9.32,0,0.487
CUST200106,2026-02-15,26,East,Premium,1,87000,3,0.36,0.17,2,613,15000,36,14.74,0,0.943
CUST200107,2025-03-19,26,East,Retail,5,95000,2,0.157,0.06,0,721,6000,36,10.99,0,0.385
CUST200108,2026-03-22,25,East,Premium,4,120000,2,0.355,0.21,0,716,25000,60,10.99,1,0.599
CUST200109,2025-11-10,23,Central,Retail,8,34174,4,0.515,0.26,0,675,9000,12,13.47,0,0.861
CUST200110,2026-01-14,25,West,Student,2,33800,4,0.553,0.3,0,603,10000,36,15.31,0,0.933
CUST200111,2026-06-05,23,South,Retail,1,55400,2,0.268,0.1,0,625,5500,12,14.61,1,0.728
CUST200112,2025-12-13,22,Central,Small Business,3,45000,2,0.27,0.11,0,722,5000,24,12.42,0,0.609
CUST200113,2024-11-28,23,North,Retail,7,78000,4,0.393,0.19,1,626,15000,60,15.31,1,0.889
CUST200114,2024-10-25,26,South,Retail,8,15000,2,0.412,0.21,0,708,3200,36,12.21,1,0.782
CUST200115,2024-12-21,25,North,Retail,2,62604,3,0.221,0.14,0,760,9000,12,11.5,0,0.509
CUST200116,2024-11-24,23,West,Retail,5,60000,2,0.446,0.28,3,664,16800,60,13.85,0,0.98
CUST200117,2025-05-12,23,West,Retail,6,61440,3,0.181,0.04,0,708,2500,12,11.5,0,0.461
CUST200118,2025-06-22,23,East,Student,5,84000,4,0.264,0.15,0,773,12500,36,6.54,0,0.425
CUST200119,2024-09-19,24,Central,Retail,3,55000,3,0.508,0.29,1,720,16000,60,11.5,0,0.908
CUST200120,2026-03-26,23,Central,Retail,7,107500,2,0.182,0.09,0,763,10000,24,7.66,0,0.308
CUST200121,2024-11-02,23,North,Student,7,31200,3,0.318,0.19,1,725,6000,36,10.37,0,0.808
CUST200122,2025-03-05,21,East,Retail,5,21000,2,0.387,0.24,0,513,5000,36,20.89,1,0.937
CUST200123,2026-07-08,24,Central,Premium,3,54000,2,0.178,0.11,0,726,6000,24,10.99,1,0.504
CUST200124,2026-03-05,22,West,Retail,3,60000,3,0.476,0.23,4,666,14000,36,13.48,0,0.99
CUST200125,2025-05-31,24,South,Retail,3,65000,2,0.148,0.09,0,765,6000,36,11.5,0,0.406
CUST200126,2025-12-09,25,West,Student,3,45000,3,0.314,0.2,0,773,9000,24,6.62,0,0.572
CUST200127,2024-12-25,23,Central,Student,6,85000,2,0.314,0.11,2,606,9000,36,12.36,0,0.912
CUST200128,2026-04-19,23,East,Small Business,7,60000,2,0.16,0.04,0,717,2450,36,11.48,0,0.43
CUST200129,2024-09-09,25,East,Student,2,96000,2,0.348,0.16,0,716,15000,36,8.88,0,0.592
CUST200130,2026-03-30,25,North,Retail,4,58000,4,0.521,0.29,0,706,17000,36,10.95,0,0.829
CUST200131,2026-01-09,22,West,Retail,3,54000,3,0.58,0.3,0,723,16075,60,10.37,0,0.849
CUST200132,2026-01-21,25,East,Retail,10,61200,4,0.163,0.08,0,748,5200,36,5.42,0,0.338
CUST200133,2024-10-23,25,Central,Retail,5,78600,3,0.196,0.11,4,669,8400,12,13.48,0,0.963
CUST200134,2025-06-12,23,North,Retail,6,30000,4,0.277,0.16,0,765,4800,36,7.49,0,0.546
CUST200135,2025-05-31,22,West,Retail,6,108803,4,0.144,0.08,0,678,10000,12,12.23,1,0.426
CUST200136,2025-12-13,25,West,Student,4,19200,2,0.532,0.33,4,627,6250,36,15.31,1,0.996
CUST200137,2025-10-10,24,East,Retail,6,72000,4,0.421,0.28,3,609,20000,48,11.5,1,0.98
CUST200138,2024-12-25,25,East,Retail,9,144996,3,0.317,0.12,0,613,17600,48,14.84,1,0.617
CUST200139,2024-10-06,23,East,Retail,7,143000,2,0.282,0.17,2,609,24250,36,14.59,1,0.887
CUST200140,2025-04-01,26,West,Student,5,45000,2,0.397,0.18,0,600,8000,12,18.25,0,0.864
CUST200141,2026-02-04,24,South,Retail,8,54000,2,0.158,0.06,1,775,3000,24,7.05,0,0.509
CUST200142,2025-06-25,24,North,Retail,5,29000,2,0.384,0.21,0,654,6000,36,15.27,0,0.829
CUST200143,2024-12-24,22,North,Student,5,27996,3,0.141,0.08,0,617,2200,12,15.95,1,0.675
CUST200144,2025-03-11,26,South,Retail,4,48000,3,0.141,0.06,0,720,3000,24,10.14,0,0.447
CUST200145,2025-02-11,25,West,Student,5,17400,4,0.404,0.17,0,716,3000,36,11.83,1,0.76
CUST200146,2025-06-30,22,Central,Student,7,53000,3,0.216,0.05,0,747,2500,36,7.4,0,0.409
CUST200147,2025-01-20,26,South,Retail,10,66996,2,0.598,0.37,2,616,25000,60,15.21,1,0.981
CUST200148,2025-12-29,22,North,Retail,7,48000,4,0.321,0.18,0,758,8800,36,6.62,0,0.556
CUST200149,2025-12-28,21,East,Student,5,25000,3,0.502,0.33,0,748,8125,24,7.9,1,0.813
CUST200150,2025-04-10,23,East,Retail,7,51000,4,0.188,0.12,0,769,6000,36,5.42,0,0.385
CUST200151,2026-01-18,25,East,Student,1,120000,3,0.254,0.07,0,715,8000,36,11.5,0,0.459
CUST200152,2025-06-21,25,South,Small Business,1,59004,2,0.423,0.25,1,601,15000,48,15.58,1,0.939
CUST200153,2025-10-24,24,West,Retail,8,40000,2,0.72,0.38,0,713,15000,60,9.88,0,0.914
CUST200154,2024-10-11,23,South,Student,7,41000,4,0.352,0.15,0,752,6000,24,6.03,0,0.574
CUST200155,2024-10-28,26,East,Premium,3,97333,2,0.244,0.1,0,759,10000,12,5.99,0,0.382
CUST200156,2024-11-14,26,West,Small Business,5,55000,3,0.136,0.08,0,747,4500,24,8.49,0,0.387
CUST200157,2026-04-04,22,South,Retail,6,30000,3,0.286,0.1,0,716,3000,36,11.49,0,0.62
CUST200158,2025-04-20,25,North,Retail,3,63000,3,0.618,0.32,0,726,20000,36,12.42,1,0.871
CUST200159,2024-10-26,23,Central,Retail,2,41000,4,0.107,0.07,4,666,3000,36,11.03,0,0.958
CUST200160,2025-09-18,23,North,Retail,4,46800,2,0.43,0.28,0,760,13000,48,8.59,0,0.724
CUST200161,2025-05-19,23,West,Retail,5,75800,2,0.274,0.09,1,772,7000,24,6.54,0,0.596
CUST200162,2026-02-09,21,North,Student,6,62500,3,0.395,0.21,0,768,13200,48,7.9,0,0.613
CUST200163,2025-03-16,24,East,Retail,8,27442,4,0.395,0.19,0,729,5175,36,10.99,0,0.718
CUST200164,2026-01-21,22,West,Retail,4,75000,3,0.267,0.16,0,700,12000,36,11.49,0,0.601
CUST200165,2025-08-25,21,Central,Retail,5,87500,3,0.439,0.29,4,670,25000,36,13.98,0,0.988
CUST200166,2025-05-29,21,South,Premium,5,10140,4,0.294,0.1,1,658,1000,36,13.43,1,0.859
CUST200167,2026-05-07,23,Central,Retail,7,83000,2,0.416,0.24,0,674,20000,60,11.5,1,0.747
CUST200168,2026-02-08,26,Central,Retail,3,22000,4,0.308,0.17,0,712,3825,12,10.65,0,0.698
CUST200169,2025-05-20,24,North,Retail,4,72000,4,0.444,0.21,0,702,15000,48,10.99,0,0.745
CUST200170,2026-01-26,23,North,Small Business,5,48000,3,0.214,0.05,0,721,2550,12,11.86,0,0.508
CUST200171,2024-11-08,22,Central,Student,6,40000,3,0.268,0.11,0,762,4500,12,7.66,0,0.497
CUST200172,2026-05-14,24,East,Retail,5,58000,4,0.211,0.12,0,745,7000,12,6.99,0,0.449
CUST200173,2026-03-08,26,North,Student,5,44600,2,0.261,0.11,0,674,4800,24,14.65,0,0.672
CUST200174,2026-02-18,23,South,Retail,5,52000,2,0.211,0.09,0,628,4600,36,14.96,1,0.671
CUST200175,2026-06-02,24,Central,Student,1,75000,4,0.203,0.11,0,706,8400,24,12.69,0,0.544
CUST200176,2025-05-09,25,West,Retail,1,42500,4,0.378,0.19,4,655,8000,12,11.5,0,0.987
CUST200177,2026-02-18,22,East,Small Business,6,160000,3,0.162,0.04,0,769,7000,12,8.9,0,0.214
CUST200178,2024-08-20,26,North,Small Business,5,40000,4,0.375,0.2,0,761,8200,12,6.62,0,0.629
CUST200179,2025-08-19,23,North,Small Business,5,48235,2,0.753,0.41,1,707,20000,60,12.18,0,0.969
CUST200180,2025-03-20,22,East,Retail,6,89000,4,0.298,0.18,0,655,16000,36,13.22,0,0.673
CUST200181,2025-01-24,23,West,Retail,4,86000,3,0.342,0.16,0,766,14000,48,6.62,0,0.504
CUST200182,2026-07-14,21,West,Retail,4,19968,3,0.433,0.25,0,679,5000,12,11.5,1,0.835
CUST200183,2025-02-09,23,Central,Premium,1,42000,4,0.235,0.14,0,671,6000,12,12.99,1,0.682
CUST200184,2024-11-02,23,West,Small Business,5,52360,2,0.53,0.29,4,601,15000,36,16.49,0,0.996
CUST200185,2025-08-19,23,North,Retail,3,56000,2,0.265,0.15,0,729,8400,36,10.99,0,0.588
CUST200186,2024-10-26,24,Central,Retail,3,30000,2,0.512,0.27,2,576,8000,24,11.5,0,0.98
CUST200187,2024-09-24,24,South,Retail,2,44000,2,0.99,0.57,0,626,25000,36,15.33,1,0.989
CUST200188,2026-06-09,24,West,Student,1,96500,4,0.252,0.15,0,558,14000,36,17.19,0,0.777
CUST200189,2024-07-29,21,West,Retail,4,50252,2,0.226,0.1,0,706,5000,24,11.46,0,0.566
CUST200190,2025-09-23,22,South,Retail,7,155000,3,0.125,0.03,0,729,4000,12,11.14,0,0.245
CUST200191,2025-05-07,25,Central,Premium,9,31200,4,0.258,0.08,3,616,2400,36,17.58,1,0.965
CUST200192,2026-01-27,26,West,Retail,2,88900,4,0.197,0.06,1,711,5000,12,11.83,0,0.646
CUST200193,2026-03-07,23,East,Retail,1,18000,4,0.402,0.18,2,660,3250,36,11.5,1,0.954
CUST200194,2025-03-01,24,North,Retail,9,120000,2,0.314,0.13,0,662,15400,60,14.26,0,0.594
CUST200195,2025-06-06,24,West,Student,4,175500,3,0.205,0.09,0,727,15000,60,12.18,0,0.323
CUST200196,2025-04-27,25,North,Retail,4,100000,4,0.332,0.15,0,679,15000,48,11.28,0,0.627
CUST200197,2026-06-17,23,West,Retail,5,88000,4,0.289,0.14,2,624,12000,48,14.61,1,0.913
CUST200198,2026-01-09,23,Central,Retail,2,24000,4,0.216,0.12,0,704,2800,36,11.49,1,0.626
CUST200199,2026-03-13,25,South,Retail,6,99996,4,0.141,0.08,0,722,8000,36,11.5,0,0.376
CUST200200,2025-09-27,23,West,Retail,5,38000,3,0.296,0.13,0,709,5000,24,11.58,0,0.647
CUST200201,2025-07-30,24,Central,Retail,5,48912,4,0.745,0.41,0,665,20000,36,11.66,1,0.946
CUST200202,2026-03-16,24,West,Retail,8,10000,3,0.559,0.3,0,746,3000,24,7.9,1,0.833
CUST200203,2026-02-11,25,West,Retail,9,100000,3,0.118,0.07,0,659,7000,36,13.98,0,0.44
CUST200204,2026-07-01,26,Central,Retail,7,54000,2,0.733,0.46,2,600,25000,60,14.83,1,0.992
CUST200205,2026-03-22,24,South,Small Business,8,46800,4,0.241,0.13,3,670,6000,36,14.22,0,0.946
CUST200206,2024-08-13,26,North,Premium,7,48000,3,0.641,0.35,2,653,16750,48,14.26,0,0.982
CUST200207,2025-06-20,26,East,Small Business,3,80000,2,0.285,0.11,0,750,9000,12,8.9,0,0.49
CUST200208,2025-09-16,25,North,Premium,5,85000,4,0.242,0.11,2,663,9600,12,13.85,0,0.871
CUST200209,2025-01-04,26,East,Retail,3,51000,4,0.392,0.24,0,750,12000,48,7.29,0,0.677
CUST200210,2025-02-26,26,Central,Retail,5,125000,3,0.101,0.06,0,716,8000,12,9.63,0,0.294
CUST200211,2026-01-29,21,South,Student,5,46500,2,0.07,0.03,0,613,1300,12,14.96,0,0.56
CUST200212,2025-09-15,26,East,Student,8,70000,3,0.218,0.11,2,664,8000,12,15.96,0,0.876
CUST200213,2026-04-22,24,Central,Retail,5,24000,4,0.474,0.28,1,752,6825,12,5.42,0,0.868
CUST200214,2025-07-26,24,East,Premium,8,133000,4,0.07,0.02,0,719,3000,36,11.99,0,0.248
CUST200215,2025-03-09,24,South,Small Business,3,87278,2,0.334,0.14,0,761,12000,60,5.42,0,0.482
CUST200216,2026-06-28,26,West,Retail,2,54000,2,0.275,0.15,0,719,8000,36,11.89,1,0.626
CUST200217,2025-07-14,21,Central,Retail,3,45408,2,0.598,0.38,0,722,17475,60,9.91,1,0.883
CUST200218,2024-11-12,22,Central,Small Business,7,53000,3,0.097,0.04,0,725,2250,36,10.62,0,0.375
CUST200219,2025-05-18,22,Central,Student,2,30000,2,0.133,0.08,0,770,2500,12,8.49,1,0.413
CUST200220,2025-04-26,23,Central,Retail,3,29772,4,0.502,0.26,3,615,7700,36,16.77,1,0.99
CUST200221,2026-06-08,23,South,Student,5,87000,2,0.313,0.14,4,650,12000,48,12.73,0,0.976
CUST200222,2024-11-14,26,North,Small Business,1,50000,4,0.495,0.24,1,712,12000,48,11.5,0,0.904
CUST200223,2025-05-13,24,West,Small Business,3,35000,4,0.509,0.24,2,666,8400,12,12.87,0,0.967
CUST200224,2026-01-15,22,East,Student,6,60500,3,0.398,0.2,0,761,12000,60,8.94,0,0.631
CUST200225,2026-07-01,26,South,Premium,10,37800,4,0.336,0.19,0,612,7000,36,14.96,1,0.804
CUST200226,2024-08-15,22,North,Retail,7,25200,3,0.499,0.3,1,611,7500,12,14.96,1,0.957
CUST200227,2025-11-14,22,East,Small Business,5,62589,2,0.229,0.11,4,661,7000,24,13.35,0,0.971
CUST200228,2025-01-21,25,Central,Small Business,4,32000,3,0.387,0.16,0,746,5100,12,8.38,0,0.667
CUST200229,2025-05-28,22,East,Retail,5,40000,2,0.36,0.17,0,728,7000,36,10.65,0,0.679
CUST200230,2025-07-01,24,South,Retail,8,38000,3,0.281,0.17,4,656,6500,36,11.34,0,0.979
CUST200231,2025-02-14,22,South,Retail,5,72000,4,0.198,0.11,0,767,8000,12,7.9,0,0.393
CUST200232,2026-01-08,23,Central,Retail,7,50000,4,0.495,0.3,0,703,15000,36,9.99,0,0.815
CUST200233,2024-11-02,22,South,Retail,6,30000,4,0.392,0.17,0,663,5000,36,13.23,0,0.793
CUST200234,2024-08-30,23,Central,Student,5,56400,4,0.143,0.07,0,719,4000,12,11.49,0,0.451
CUST200235,2025-09-25,24,North,Retail,8,39000,4,0.396,0.18,1,626,7000,12,14.42,1,0.906
CUST200236,2024-11-25,21,North,Retail,5,28800,2,0.556,0.28,0,717,8000,36,9.88,0,0.85
CUST200237,2025-12-04,23,Central,Retail,6,54000,3,0.637,0.37,4,612,20000,60,14.84,1,0.997
CUST200238,2026-01-05,22,South,Student,2,98000,4,0.405,0.2,0,706,20000,48,11.83,0,0.693
CUST200239,2024-11-28,23,North,Retail,5,38000,2,0.323,0.21,0,746,8000,24,6.17,0,0.613
CUST200240,2026-01-07,22,South,Premium,2,35325,2,0.316,0.18,0,601,6500,24,15.95,1,0.836
CUST200241,2024-12-15,26,Central,Retail,9,99000,4,0.334,0.2,0,677,20000,48,14.22,0,0.663
CUST200242,2026-06-07,25,North,Retail,9,85000,2,0.155,0.01,0,767,1000,36,9.32,0,0.281
CUST200243,2025-02-06,26,East,Premium,2,110000,2,0.165,0.11,0,745,12000,48,7.88,0,0.352
CUST200244,2025-01-12,25,North,Student,1,30000,2,0.187,0.1,0,709,3075,24,10.59,0,0.573
CUST200245,2025-12-30,22,West,Retail,5,32400,3,0.28,0.09,0,576,3000,24,16.45,0,0.801
CUST200246,2024-10-04,26,North,Premium,4,61200,2,0.099,0.02,2,663,1500,24,12.84,0,0.799
CUST200247,2025-06-03,23,East,Retail,3,65000,4,0.448,0.22,0,721,14000,60,10.65,0,0.744
CUST200248,2024-10-31,26,West,Retail,8,54000,4,0.178,0.09,4,607,5000,12,15.62,1,0.975
CUST200249,2025-01-27,23,West,Small Business,1,29000,3,0.458,0.21,0,752,6000,36,5.99,0,0.73
